time,S,C,ε,γ,κ,β,θ,K
679.0,1898.916,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
686.0,1898.9138,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
693.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
700.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
707.0,1898.9143,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
714.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
721.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
728.0,1898.9148,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
735.0,1898.9171,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
742.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
749.0,1898.915,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
756.0,1898.9167,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
763.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
770.0,1898.9153,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
777.0,1898.9164,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
784.0,1898.9125,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
791.0,1898.9155,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
798.0,1898.9161,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
805.0,1898.9133,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
812.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
819.0,1898.9159,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
826.0,1898.9141,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
833.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
840.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
847.0,1898.9146,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
854.0,1898.9174,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
861.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
868.0,1898.9149,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
875.0,1898.9169,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
882.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
889.0,1898.9152,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
896.0,1898.9165,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
903.0,1898.9119,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
910.0,1898.9152,101.0843,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
0.0,1967.0,33.0,1e-04,0.05,0.071428575,0.01,0.001,0.2
7.0,1902.7903,97.20932,0.00095417356,0.05,0.071428575,0.01,0.001,0.2
14.0,1892.2911,107.70872,0.001715188,0.05,0.071428575,0.01,0.001,0.2
21.0,1888.2712,111.7286,0.002229201,0.05,0.071428575,0.01,0.001,0.2
28.0,1885.9071,114.092926,0.002566283,0.05,0.071428575,0.01,0.001,0.2
35.0,1884.3904,115.60959,0.0027863327,0.05,0.071428575,0.01,0.001,0.2
42.0,1883.4036,116.59506,0.0029298316,0.05,0.071428575,0.01,0.001,0.2
49.0,1882.7622,117.23666,0.0030233678,0.05,0.071428575,0.01,0.001,0.2
56.0,1882.3466,117.65459,0.0030843178,0.05,0.071428575,0.01,0.001,0.2
63.0,1882.0732,117.92659,0.0031240324,0.05,0.071428575,0.01,0.001,0.2
70.0,1881.896,118.103836,0.0031499064,0.05,0.071428575,0.01,0.001,0.2
